Pathway,Total,Expected,Hits,P.Value,FDR
Cell surface receptor signaling pathway,3340,216,376,4.89e-34,5.81e-33
Regulation of organelle organization,589,38.1,125,6.14e-34,7.2e-33
Response to stress,4150,268,437,6.35e-34,7.34e-33
"Positive regulation of transcription, DNA_dependent",1260,81.4,197,7.21e-34,8.1e-33
"Positive regulation of transcription, DNA_dependent",1260,81.4,197,7.21e-34,8.1e-33
Regulation of transcription from RNA polymerase II promoter,1610,104,230,1.11e-33,1.23e-32
Positive regulation of cellular component organization,560,36.2,121,1.22e-33,1.34e-32
Regulation of body fluid levels,680,44,135,1.88e-33,2.03e-32
Cellular response to stress,1620,105,231,2.03e-33,2.16e-32
Response to wounding,1310,84.9,201,3.47e-33,3.64e-32
Cellular protein catabolic process,518,33.5,115,4.06e-33,4.22e-32
Vasculature development,652,42.2,131,5.32e-33,5.46e-32
Positive regulation of RNA metabolic process,1330,86.2,201,2.99e-32,3.03e-31
Mitosis,420,27.2,101,3.68e-32,3.68e-31
Neurogenesis,1390,90,206,5.49e-32,5.43e-31
Positive regulation of nucleobase_containing compound metabolic process,1490,96.4,215,7.91e-32,7.72e-31
Signal transduction in response to DNA damage,129,8.34,55,1.01e-31,9.74e-31
G2/M transition of mitotic cell cycle,150,9.7,59,1.27e-31,1.21e-30
Positive regulation of biological process,5500,355,525,1.4e-31,1.32e-30
Cell migration,1050,68.2,172,1.49e-31,1.39e-30
Embryo development,1080,70.1,175,1.56e-31,1.44e-30
Regulation of response to stimulus,3360,217,371,1.63e-31,1.48e-30
Regulation of anatomical structure morphogenesis,702,45.4,134,2.35e-31,2.12e-30
Response to endogenous stimulus,1360,88.2,202,2.58e-31,2.3e-30
Generation of neurons,1300,84.3,196,3.4e-31,3e-30
Regulation of cell proliferation,1430,92.3,207,8.03e-31,7.01e-30
M phase of mitotic cell cycle,447,28.9,102,1.97e-30,1.7e-29
Macromolecule catabolic process,1070,69.3,171,3.54e-30,2.99e-29
Macromolecule catabolic process,1070,69.3,171,3.54e-30,2.99e-29
Positive regulation of developmental process,817,52.8,144,7.6e-30,6.36e-29
Response to external stimulus,1510,97.7,212,1.25e-29,1.04e-28
Organ morphogenesis,966,62.5,159,1.67e-29,1.37e-28
Axonogenesis,578,37.4,116,3.82e-29,3.1e-28
Negative regulation of response to stimulus,967,62.5,158,6.09e-29,4.9e-28
Positive regulation of phosphorylation,697,45.1,129,8.42e-29,6.7e-28
Regulation of cell adhesion,294,19,79,9.71e-29,7.66e-28
MAPK cascade,665,43,125,1.46e-28,1.14e-27
Regulation of catabolic process,595,38.5,117,1.49e-28,1.15e-27
Neuron differentiation,1190,76.7,179,1.52e-28,1.16e-27
Positive regulation of signal transduction,998,64.5,160,2.32e-28,1.76e-27
Negative regulation of signal transduction,790,51.1,138,3.62e-28,2.72e-27
Intracellular protein kinase cascade,1140,73.5,173,5.18e-28,3.86e-27
Protein polyubiquitination,177,11.4,60,5.4e-28,3.99e-27
"DNA damage response, signal transduction by p53 class mediator",117,7.57,49,6.04e-28,4.42e-27
Epidermal growth factor receptor signaling pathway,167,10.8,58,9.9e-28,7.18e-27
Positive regulation of protein phosphorylation,681,44,125,1.5e-27,1.08e-26
M phase,671,43.4,123,4.73e-27,3.37e-26
Negative regulation of programmed cell death,691,44.7,125,6.16e-27,4.35e-26
Regulation of MAPK cascade,559,36.2,110,7.05e-27,4.94e-26
Tissue development,1680,109,221,1.01e-26,7.05e-26
DNA integrity checkpoint,152,9.83,54,1.89e-26,1.3e-25
Tissue morphogenesis,566,36.6,110,2.12e-26,1.45e-25
